list_number,name,role_org,connection_to_solomon,category,subcategory
1,Stuart Russell,"Professor of Computer Science, UC Berkeley; Author of *Human Compatible*",Leading voice arguing AI must be redesigned to be provably beneficial to humans; directly aligned with Solomon's mission to ensure AI serves rather than undermines institutions.,Category 1: AI Alignment & Safety,
2,Max Tegmark,"Professor of Physics, MIT; Co-founder, Future of Life Institute",Organizes global conversations on existential AI risk; his institute funds research on AI safety that intersects with protecting civic infrastructure.,Category 1: AI Alignment & Safety,
3,Yoshua Bengio,"Professor, Université de Montréal; Turing Award winner","One of the ""godfathers of deep learning"" who has pivoted hard toward AI safety; his public advocacy for AI regulation aligns with Solomon's protective mission.",Category 1: AI Alignment & Safety,
4,Paul Christiano,"Founder, Alignment Research Center (ARC)",Develops technical approaches to AI alignment; his work on ensuring AI systems follow human intent is foundational to Solomon's design philosophy.,Category 1: AI Alignment & Safety,
5,Eliezer Yudkowsky,"Co-founder, Machine Intelligence Research Institute (MIRI)",Decades-long advocate for AI alignment; his writings on AI risk have shaped the intellectual framework Solomon operates within.,Category 1: AI Alignment & Safety,
6,Connor Leahy,"CEO, Conjecture; Co-founder, EleutherAI",Bridges open-source AI development and safety concerns; accessible advocate who communicates alignment concepts to broader tech audiences.,Category 1: AI Alignment & Safety,
7,Dan Hendrycks,"Director, Center for AI Safety (CAIS)",Organized the landmark open letter on AI existential risk; his center catalyzes safety research directly relevant to Solomon's institutional protection goals.,Category 1: AI Alignment & Safety,
8,Jan Leike,"Former head of Alignment, OpenAI (now at Anthropic)",Led superalignment efforts at OpenAI before departing over safety concerns; his trajectory illustrates the urgency Solomon addresses.,Category 1: AI Alignment & Safety,
9,Dario Amodei,"CEO, Anthropic","Left OpenAI to build a safety-focused AI lab; his ""responsible scaling"" framework parallels Solomon's approach to managing AI's institutional impacts.",Category 1: AI Alignment & Safety,
10,Daniela Amodei,"President, Anthropic",Shapes Anthropic's policy and institutional engagement; her focus on responsible AI deployment connects to Solomon's civic protection mission.,Category 1: AI Alignment & Safety,
11,Helen Toner,"Director of Strategy, Georgetown Center for Security and Emerging Technology (CSET)",Former OpenAI board member who prioritized safety over commercial interests; her governance expertise is directly relevant to Solomon's institutional focus.,Category 1: AI Alignment & Safety,
12,Holden Karnofsky,"Co-founder, Open Philanthropy","Directs hundreds of millions toward AI safety research; his ""most important century"" thesis frames the urgency Solomon responds to.",Category 1: AI Alignment & Safety,
13,Toby Ord,"Senior Research Fellow, Oxford Future of Humanity Institute; Author of *The Precipice*",Frames AI as a leading existential risk; his probabilistic risk framework could inform Solomon's approach to institutional threats.,Category 1: AI Alignment & Safety,
14,Nick Bostrom,"Founding Director, Future of Humanity Institute, Oxford",Author of *Superintelligence*; his foundational work on AI risk scenarios provides the intellectual backdrop for Solomon's mission.,Category 1: AI Alignment & Safety,
